SBankCode,BankTypeCode,BankName
,TSMJRCC,天水麦积农村合作银行
,ZJCARCC,浙江淳安农村商业银行
,DXRCB,定西农村商业银行
,XACARCC,西安市长安区农村信用合作社联合社
,SDZCHMGRCC,山东邹城农村商业银行
,ASCB,鞍山银行
,HBZCRCC,湖北蕲春农村商业银行
,NXPLRCC,宁夏平罗农村商业银行
,LUZBANK,泸州市商业银行
,LYSRCC,凌源市农村信用合作社联合社
,NMYJHLRCC,内蒙古伊金霍洛农村商业银行
,LNBPRCC,辽宁省北票市农村信用合作联社
,JLPSRCB,吉林磐石农村商业银行股份有限公司
,AHJSRCC,安徽界首农村商业银行
,GLXAIURCC,皋兰县农村信用合作联社
,STMZRCC,松桃苗族自治县农村信用合作联社
,SJZZCQYIRCC,石家庄市栾城农村信用合作联社
,CZWDRCC,滁州皖东农村商业银行
,AHTSRCB,安徽砀山农村商业银行
,GSMQRCB,甘肃民勤农村商业银行股份有限公司
,FNXCWNRCC,抚宁县农村信用联社
,FPXTYURCC,富平县农村信用合作联社
,FYZHRCC,阜阳颍淮农村商业银行
,HXRCB,贵州花溪农村商业银行
,SDZPRCB,山东邹平农村商业银行
,YANCRCC,延安农村商业银行
,GZHZRCB,贵州赫章农村商业银行
,JSXYRCB,江苏盱眙农村商业银行
,GZDZRCB,贵州道真农村商业银行
,HBZSSQORCC,湖北浠水农村商业银行
,AHWHRCC,安徽五河农村商业银行
,QXGSORCC,乾县农村信用合作联社
,HBJXRCB,河北井陉农村商业银行
,GSLXRCB,甘肃礼县农村商业银行股份有限公司
,BCRCB,白城农村商业银行股份有限公司
,YXNCRCC,易县农村信用联社
,HNCLSRCB,湖南慈利农村商业银行股份有限公司
,JSBHRCB,江苏滨海农村商业银行
,YZRCB,江苏仪征农村商业银行
,GSLZRCB,甘肃临洮农村商业银行
,HNBANK,海南银行股份有限公司
,GZSNRCB,贵州思南农村商业银行股份有限公司
,HBLZRCB,河北滦州农村商业银行
,TRRCB,铜仁农村商业银行
,SDZCERHRCC,山东郓城农村商业银行
,SXDBRCC,陕西定边农村商业银行
,SCXNCRRCC,莎车县农村信用合作联社
,JSFNRCB,江苏阜宁农村商业银行
,SXXYUARRCC,山西孝义农村商业银行
,HBKCRCB,河北宽城农村商业银行
,FJNPRCB,福建南平农村商业银行
,SXLZRCC,山西临猗农村商业银行
,SCXGCKRCC,水城县农村信用合作联社
,HBJLJNYRCC,湖北监利农村商业银行
,SXJXIUDRCC,山西介休农村商业银行
,ZGCCB,自贡银行
,HJSRCC,河间市农村信用合作联社
,AHDZRCC,安徽东至农村商业银行
,LNXMRCB,辽宁新民农村商业银行股份有限公司
,SDBXRCC,山东博兴农村商业银行
,HBHMRCC,湖北黄梅农村商业银行
,GSDHRCB,甘肃敦煌农村商业银行股份有限公司
,FJLHRCB,福建龙海农村商业银行股份有限公司
,QHDTRCC,青海大通农村商业银行
,TEIBC,中国进出口银行
,HNNYRCB,湖南宁远农村商业银行股份有限公司
,HBBYRCB,河北蠡州北银农村商业银行股份有限公司
,JSJHRCB,江苏建湖农村商业银行
,LJXXQERCC,连江县农村信用合作联社
,ZJTSRCC,浙江泰顺农村商业银行
,TLBANK,铁岭银行
,QLMZRCC,青龙满族自治县农村信用联社
,XJAKSRCC,新疆阿克苏农村商业银行
,HNHSRCB,湖南汉寿农村商业银行股份有限公司
,FJLJNCCB,福建连江农村商业银行
,LYYDQRCC,龙岩市永定区农村信用合作联社
,QHDSQRCC,秦皇岛市区农村信用合作联社
,SXCZRCC,山西长子农村商业银行
,SDGMRCC,山东高密农村商业银行
,SXLSRCC,山西灵石农村商业银行
,HNAHRCB,湖南安化农村商业银行股份有限公司
,ZAXYUZRCC,正安县农村信用合作联社
,BDMCRCC,保定市满城区农村信用联社
,ZZZJRCC,湖南株洲珠江农村商业银行
,SXFGRCC,陕西府谷农村商业银行
,DCXZHZRCC,大城县农村信用合作联社
,QXXRCC,迁西县农村信用合作联社
,HBHYRCB,河北黄骅农村商业银行股份有限公司
,LNKDRCB,辽宁宽甸农村商业银行股份有限公司
,SDLZOSWRCC,山东莱州农村商业银行
,PZBANK,盘锦银行
,CXNCRCC,沧县农村信用联社
,SXYCBMCRCC,山西榆次农村商业银行
,ZJJSBHARCC,浙江嘉善农村商业银行
,HBSRCB,河北涉县农村商业银行股份有限公司
,TCRCB,江苏太仓农村商业银行
,JLSLRCB,吉林舒兰农村商业银行
,JLDFRCB,吉林东丰农村商业银行股份有限公司
,AQNCRCC,安庆农村商业银行
,STSCYRCC,汕头市潮阳农村信用合作联社
,ZZSILZRCC,儋州市农村信用合作联社
,YCXZOFRCC,永春县农村信用合作联社
,ADRCB,湖南东安农村商业银行股份有限公司
,NYXRCC,纳雍县农村信用合作联社
,AHWJRCC,安徽望江农村商业银行
,GZLPRCB,贵州黎平农村商业银行股份有限公司
,AHHSTZFRCC,安徽霍山农村商业银行
,GSYCRCB,甘肃永昌农村商业银行股份有限公司
,LRCB,江苏溧水农村商业银行
,SXZQRCC,山西左权农村商业银行
,WNSRCC,万宁市农村信用合作联社
,HBYXKPPRCC,湖北郧县农村商业银行
,NXWZRCC,宁夏吴忠农村商业银行
,DHRCB,江苏东海农村商业银行
,ZJWCRCC,浙江文成农村商业银行
,CHXNGGRCC,册亨县农村信用合作联社
,WZXRCC,望谟县农村信用合作联社
,SXWTRCC,山西五台农村商业银行
,XJWSRCC,新疆乌苏农村商业银行
,DYRCB,贵州都匀农村商业银行
,HBHCRCC,湖北汉川农村商业银行
,DHXRCC,德化县农村信用合作联社
,HBQHRCB,河北清河农村商业银行
,AHSSRCC,安徽宿松农村商业银行
,JSTZRCB,江苏泰州农村商业银行
,HNHNRCB,湖南衡南农村商业银行股份有限公司
,ASRCB,鞍山农村商业银行
,JZKFQRCC,晋中开发区农村商业银行
,JZRCU,河北晋州农村商业银行
,RHNSH,贵州仁怀茅台农村商业银行
,ZJYHMJDRCC,浙江玉环农村商业银行
,LNDTRCB,辽宁灯塔农村商业银行股份有限公司
